date,position,song,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url,artist_name
18-05-2024,1,Tattoo,89,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6,loreen
18-05-2024,2,Daylight,96,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,david kushner
18-05-2024,3,Cha Cha Cha,86,175161,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387,kã¤ã¤rijã¤
18-05-2024,4,Miracle (with Ellie Goulding),91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,calvin harris
18-05-2024,4,Miracle (with Ellie Goulding),91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,ellie goulding
18-05-2024,5,Queen of Kings,85,147979,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732c9eea7700ceb07c4dabf114,alessandra
18-05-2024,6,Flowers,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,miley cyrus
18-05-2024,7,Boy's a Liar Pt. 2,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,pinkpantheress
18-05-2024,7,Boy's a Liar Pt. 2,96,131013,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,ice spice
18-05-2024,8,People,92,184791,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,libianca
18-05-2024,9,Kill Bill,94,153946,album,23,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,sza
18-05-2024,10,Wish You The Best,87,210880,single,4,FALSE,https://i.scdn.co/image/ab67616d0000b273f4b2bcecd4647b0ba6f59e0b,lewis capaldi
18-05-2024,11,Giving Me,76,169000,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273e0c6c64da0c8e1d1df7e001c,jazzy
18-05-2024,12,Anti-Hero,94,200690,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,taylor swift
18-05-2024,13,Eyes Closed,80,194848,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,ed sheeran
